target,donor,cytokine,percent_positive,donor_ntc_mean_percent_positive,log2_ratio_to_donor_ntc,n_donor_ntc_measurements
ATP2A2,Donor10,IL10,2.95,0.92,1.681009188192191,1
ATP2A2,Donor6,IL10,5.98,0.3893333333333333,3.9410677109266063,3
ATP2A2,Donor7,IL10,0.9,1.07,-0.24961389007147228,3
ATP2A2,Donor8,IL10,0.84,0.08633333333333333,3.282399730700725,3
ATP2A2,Donor9,IL10,2.1,1.02,1.0418201756946273,1
CYB5R4,Donor10,IL10,10.5,0.92,3.512611656496472,1
CYB5R4,Donor6,IL10,4.7,0.3893333333333333,3.5935829832935013,3
CYB5R4,Donor7,IL10,1.68,1.07,0.6508504363776133,3
CYB5R4,Donor8,IL10,2.0,0.08633333333333333,4.533938497696689,3
CYB5R4,Donor9,IL10,3.78,1.02,1.889817082249577,1
ELOB,Donor6,IL10,7.86,0.3893333333333333,4.335451538987108,3
ELOB,Donor7,IL10,30.0,1.07,4.809279798982097,3
ELOB,Donor8,IL10,1.95,0.08633333333333333,4.497412621671575,3
GATA3,Donor6,IL10,0.56,0.3893333333333333,0.5244209587861056,3
GATA3,Donor7,IL10,0.82,1.07,-0.3839149817830635,3
GATA3,Donor8,IL10,0.11,0.08633333333333333,0.34951392655926206,3
KDM1A,Donor10,IL10,0.76,0.92,-0.27563444261342734,1
KDM1A,Donor6,IL10,0.39,0.3893333333333333,0.002468255590749891,3
KDM1A,Donor7,IL10,0.69,1.07,-0.632942529622978,3
KDM1A,Donor8,IL10,0.073,0.08633333333333333,-0.2420212280853805,3
KDM1A,Donor9,IL10,0.52,1.02,-0.9719856238304035,1
MED24,Donor5,IL10,0.32,0.7200000000000001,-1.1699250014423124,3
MED24,Donor6,IL10,0.32,0.3893333333333333,-0.2829339632714986,3
MED24,Donor7,IL10,0.47,1.07,-1.1868781347235098,3
MED24,Donor8,IL10,0.052,0.08633333333333333,-0.7314060688243055,3
MEN1,Donor6,IL10,5.58,0.3893333333333333,3.841187348557689,3
MEN1,Donor7,IL10,20.6,1.07,4.266961635669434,3
MEN1,Donor8,IL10,7.02,0.08633333333333333,6.345409528226526,3
NFKB2,Donor10,IL10,11.2,0.92,3.6057210608879533,1
NFKB2,Donor6,IL10,0.68,0.3893333333333333,0.804528877978841,3
NFKB2,Donor7,IL10,3.44,1.07,1.684797768300951,3
NFKB2,Donor8,IL10,0.16,0.08633333333333333,0.8900823079219647,3
NFKB2,Donor9,IL10,10.9,1.02,3.417687077692793,1
SGF29,Donor10,IL10,3.62,0.92,1.9762839310261926,1
SGF29,Donor5,IL10,2.98,0.7200000000000001,2.049243519019849,3
SGF29,Donor6,IL10,0.37,0.3893333333333333,-0.0734805976425488,3
SGF29,Donor7,IL10,2.53,1.07,1.2415265882931628,3
SGF29,Donor8,IL10,0.3,0.08633333333333333,1.7969729035304833,3
SGF29,Donor9,IL10,1.57,1.02,0.6221954069201315,1
ATP2A2,Donor10,IL21,5.01,0.39,3.6832645743329597,1
ATP2A2,Donor6,IL21,10.9,1.8466666666666667,2.5613327543362567,3
ATP2A2,Donor7,IL21,10.6,1.67,2.6661442569765095,3
ATP2A2,Donor8,IL21,4.09,0.5233333333333333,2.966298784771278,3
ATP2A2,Donor9,IL21,1.05,0.91,0.20645087746742652,1
CYB5R4,Donor10,IL21,0.23,0.39,-0.7618402628052354,1
CYB5R4,Donor6,IL21,1.17,1.8466666666666667,-0.6584149457446276,3
CYB5R4,Donor7,IL21,0.36,1.67,-2.2137792910317398,3
CYB5R4,Donor8,IL21,0.47,0.5233333333333333,-0.1550693964928334,3
CYB5R4,Donor9,IL21,0.53,0.91,-0.779874185635497,1
ELOB,Donor6,IL21,2.43,1.8466666666666667,0.3960328382777488,3
ELOB,Donor7,IL21,0.8,1.67,-1.0617761975866897,3
ELOB,Donor8,IL21,0.48,0.5233333333333333,-0.12469574744931461,3
GATA3,Donor6,IL21,5.66,1.8466666666666667,1.6158785775038502,3
GATA3,Donor7,IL21,3.0,1.67,0.8451143980218287,3
GATA3,Donor8,IL21,0.92,0.5233333333333333,0.8139037078865421,3
KDM1A,Donor10,IL21,0.71,0.39,0.8643449006424335,1
KDM1A,Donor6,IL21,1.92,1.8466666666666667,0.056182835393123895,3
KDM1A,Donor7,IL21,2.47,1.67,0.5646629391106256,3
KDM1A,Donor8,IL21,0.98,0.5233333333333333,0.9050515959447374,3
KDM1A,Donor9,IL21,0.19,0.91,-2.2598671267551107,1
MED24,Donor5,IL21,2.04,5.07,-1.3134165950318448,3
MED24,Donor6,IL21,0.68,1.8466666666666667,-1.4413168240776928,3
MED24,Donor7,IL21,1.47,1.67,-0.18403194763768774,3
MED24,Donor8,IL21,0.15,0.5233333333333333,-1.8027676525619523,3
MEN1,Donor6,IL21,2.97,1.8466666666666667,0.6855394554727336,3
MEN1,Donor7,IL21,4.25,1.67,1.3476147385510118,3
MEN1,Donor8,IL21,0.84,0.5233333333333333,0.6826591746082895,3
NFKB2,Donor10,IL21,1.15,0.39,1.5600878320821268,1
NFKB2,Donor6,IL21,3.71,1.8466666666666667,1.0064957112927713,3
NFKB2,Donor7,IL21,6.04,1.67,1.8547004468510266,3
NFKB2,Donor8,IL21,2.02,0.5233333333333333,1.948553234581324,3
NFKB2,Donor9,IL21,1.42,0.91,0.6419524793059856,1
SGF29,Donor10,IL21,0.77,0.39,0.9813843218326529,1
SGF29,Donor5,IL21,12.9,5.07,1.347313413307276,3
SGF29,Donor6,IL21,3.93,1.8466666666666667,1.0896058369305743,3
SGF29,Donor7,IL21,9.71,1.67,2.5396231929451405,3
SGF29,Donor8,IL21,2.96,0.5233333333333333,2.499795117458479,3
SGF29,Donor9,IL21,0.78,0.91,-0.22239242133644802,1
