scale,target,genes_scored,cosine,pearson,spearman,normalized_rmse,common_source_cosine,cosine_gain_over_common_source,retrieval_rank,retrieval_reciprocal_rank
raw,ATP2A2,8967,0.42792430373556095,0.40438988788772184,0.30737515390658504,1.2523136239580592,0.3490612133773118,0.07886309035824918,1,1.0
raw,CYB5R4,8967,0.5492858628301112,0.549812934254465,0.46111253411387637,1.0610511963510603,0.3046465050505077,0.24463935777960344,1,1.0
raw,ELOB,8967,0.5882870649550637,0.5832115432693857,0.48663712410811555,0.8148401658342319,0.2532975446289064,0.33498952032615725,1,1.0
raw,GATA3,8967,0.4088351383263268,0.41748158340819136,0.32213447486849434,1.0851795420396781,0.11599702137287225,0.2928381169534545,1,1.0
raw,KDM1A,8967,0.7599576557888967,0.756585183497324,0.6453886895173324,0.7727405466365237,0.3703592890334375,0.3895983667554592,1,1.0
raw,MED24,8967,0.5588941339704301,0.5540834636669774,0.5417455109958246,0.9416561613238522,0.05415151778460992,0.5047426161858202,1,1.0
raw,MEN1,8967,0.4884469391141657,0.47961924321122995,0.4005595960794037,1.0120994782340578,0.4159758099340754,0.0724711291800903,1,1.0
raw,NFKB2,8967,0.4660645957087632,0.468329467067418,0.33573905979277074,0.9869255833067491,0.2924984401278468,0.17356615558091637,1,1.0
raw,SGF29,8967,0.5991598372745948,0.582299713862394,0.5979664243028742,1.092882926629976,0.31652192018790054,0.2826379170866942,1,1.0
panel_centered,ATP2A2,8967,0.38620924283636443,0.3699457601013263,0.23014636997199137,1.4057249995707621,,,1,1.0
panel_centered,CYB5R4,8967,0.5895765395344192,0.586448781100334,0.5126930843603518,1.0078678724009777,,,1,1.0
panel_centered,ELOB,8967,0.6057464293961775,0.6069464888699179,0.5080854232765735,0.8076137698293585,,,1,1.0
panel_centered,GATA3,8967,0.539685680949182,0.5340383789201649,0.4349183819495806,1.0521083462106524,,,1,1.0
panel_centered,KDM1A,8967,0.717952553710234,0.7176446816922889,0.5803006411570736,0.8409524362772665,,,1,1.0
panel_centered,MED24,8967,0.6517386275369941,0.637832137607456,0.5685426200623597,0.8148453817338033,,,1,1.0
panel_centered,MEN1,8967,0.49896764363503315,0.4968067987821099,0.3909291604469166,1.1056327228335243,,,1,1.0
panel_centered,NFKB2,8967,0.49478773679052407,0.4954022092950111,0.3801112398325758,1.1890753471632893,,,1,1.0
panel_centered,SGF29,8967,0.579978150629429,0.5781256727750266,0.590570683428802,1.4176437321256596,,,1,1.0
